# file...... Feeder_2_Solar_80_DistTrans.csv
# date...... Wed Apr 26 16:57:03 2023
# user...... JKLiu
# host...... (null)
# group..... groupid=Distribution_Trans
# property.. power_out
# limit..... 0
# interval.. 1800
# timestamp,R2-12-47-3_xfmr_336,R2-12-47-3_xfmr_334,R2-12-47-3_xfmr_350,R2-12-47-3_xfmr_426,R2-12-47-3_xfmr_427,R2-12-47-3_xfmr_335,R2-12-47-3_xfmr_403,R2-12-47-3_xfmr_404,R2-12-47-3_xfmr_405,R2-12-47-3_xfmr_433,R2-12-47-3_xfmr_428,R2-12-47-3_xfmr_332,R2-12-47-3_xfmr_406,R2-12-47-3_xfmr_407,R2-12-47-3_xfmr_408,R2-12-47-3_xfmr_351,R2-12-47-3_xfmr_352,R2-12-47-3_xfmr_432,R2-12-47-3_xfmr_429,R2-12-47-3_xfmr_321,R2-12-47-3_xfmr_333,R2-12-47-3_xfmr_327,R2-12-47-3_xfmr_353,R2-12-47-3_xfmr_431,R2-12-47-3_xfmr_435,R2-12-47-3_xfmr_437,R2-12-47-3_xfmr_481,R2-12-47-3_xfmr_430,R2-12-47-3_xfmr_317,R2-12-47-3_xfmr_322,R2-12-47-3_xfmr_323,R2-12-47-3_xfmr_409,R2-12-47-3_xfmr_410,R2-12-47-3_xfmr_411,R2-12-47-3_xfmr_328,R2-12-47-3_xfmr_330,R2-12-47-3_xfmr_434,R2-12-47-3_xfmr_436,R2-12-47-3_xfmr_474,R2-12-47-3_xfmr_324,R2-12-47-3_xfmr_325,R2-12-47-3_xfmr_412,R2-12-47-3_xfmr_413,R2-12-47-3_xfmr_414,R2-12-47-3_xfmr_329,R2-12-47-3_xfmr_331,R2-12-47-3_xfmr_485,R2-12-47-3_xfmr_480,R2-12-47-3_xfmr_318,R2-12-47-3_xfmr_320,R2-12-47-3_xfmr_326,R2-12-47-3_xfmr_415,R2-12-47-3_xfmr_416,R2-12-47-3_xfmr_417,R2-12-47-3_xfmr_441,R2-12-47-3_xfmr_479,R2-12-47-3_xfmr_314,R2-12-47-3_xfmr_319,R2-12-47-3_xfmr_421,R2-12-47-3_xfmr_365,R2-12-47-3_xfmr_366,R2-12-47-3_xfmr_367,R2-12-47-3_xfmr_418,R2-12-47-3_xfmr_419,R2-12-47-3_xfmr_420,R2-12-47-3_xfmr_440,R2-12-47-3_xfmr_455,R2-12-47-3_xfmr_315,R2-12-47-3_xfmr_374,R2-12-47-3_xfmr_364,R2-12-47-3_xfmr_368,R2-12-47-3_xfmr_369,R2-12-47-3_xfmr_370,R2-12-47-3_xfmr_454,R2-12-47-3_xfmr_379,R2-12-47-3_xfmr_375,R2-12-47-3_xfmr_376,R2-12-47-3_xfmr_380,R2-12-47-3_xfmr_382,R2-12-47-3_xfmr_377,R2-12-47-3_xfmr_378,R2-12-47-3_xfmr_371,R2-12-47-3_xfmr_381,R2-12-47-3_xfmr_383,R2-12-47-3_xfmr_372,R2-12-47-3_xfmr_373
2021-07-01 00:00:00 CDT,+6591.53+15.4585i,+8369.75+30.3052j,+3143.17+21.4978i,+1715.46+14.1175i,+1910.2+14.176j,+2929.64+21.407i,+548.485+7.01017i,+642.033+7.01793j,+7726.71+30.1822j,+2907.63+14.4765j,+1504.73+14.0747j,+3560.83+21.5482j,+959.244+7.05747i,+553.158+7.01179j,+2980.31+21.4389j,+2159.74+14.1914j,+1619.85+14.105j,+3333.71+28.5143j,+2357.31+137.655j,+3531.75+21.6938j,+3796.08+14.5088j,+543.778+7.01376j,+7412.69+15.8033j,+5064.72+29.0125j,+5227.67+28.9331i,+1471.21+14.0936j,+1848.98+14.1373i,+2345.31+14.2521j,+1764.09+14.1414j,+13054.1+1206.47j,+4105.69+28.7127j,+873.156+7.03828i,+848.442+7.03678j,+2809.67+21.3726j,+2599.23+21.3531i,+4774.25+36.121j,+8321.7+30.198i,+3632.4+28.5414j,+3028.93+28.4154j,+4359.98+35.9253j,+3868.1+28.6273j,+1078.12+7.0638i,+626.926+7.01704j,+1786.43+14.1304j,+3939.38+28.7204i,+5140.78+159.534j,+2020.75+14.2179i,+3060.42+28.399i,+2343.07+14.2521i,+2012.8+14.1735j,+7866.83+1226.56j,+5835.83+8.08441i,+657.897+7.01529j,+2573.52+21.2745j,+3676.17+28.704j,+3058.52+21.4689i,+2291.89+14.2295j,+7484.98+1383.07i,+8734.82+23.5305i,+2788.82+21.3379i,+506.191+7.01052j,+582.738+7.02066j,+796.628+7.02479i,+1201.01+7.08515j,+5656.9+29.2977j,+7836.24+30.0341j,+3338.16+28.517i,+2609.61+14.384j,+2204.26+14.2381j,+7819.25+23.0076i,+2676.86+21.303i,+817.789+7.04168j,+817.85+7.03551j,+3504.92+28.5827i,+2431.81+14.3308j,+4904.15+36.0924j,+5401.1+36.5179j,+3116+21.4779j,+6935.74+22.5657j,+4367.76+35.8135j,+2724.24+28.3007j,+2156.69+14.261i,+2948.84+21.3991j,+3295.29+21.5115j,+1895.96+14.1209j,+2148.58+14.1901j
2021-07-01 00:30:00 CDT,+1918.23+14.1953i,+2759.6+28.356j,+2506.77+21.2513i,+1715.61+14.1175i,+1692.73+14.1222j,+2929.97+21.4069i,+548.528+7.01017i,+642.068+7.01793j,+3789.03+28.6456j,+2584.27+14.3367j,+5913.68+15.078j,+3331.51+21.4486j,+752.825+7.0283i,+498.992+7.0086j,+2549.74+21.2714j,+1941.4+14.1373j,+1565.72+14.0944j,+3188.67+28.4502j,+2259.91+137.635j,+3058.16+21.4526j,+3676.19+14.4622j,+543.803+7.01375j,+1949.17+14.1494j,+4602.5+28.7584j,+6541.26+29.3889i,+1285.31+14.062j,+1849.16+14.1373i,+1885.11+14.1304j,+1514.5+14.0888j,+9528.87+1205.54j,+3788.65+28.5588j,+697.234+7.01936i,+676.524+7.01853j,+2620.85+21.3022j,+2264.31+21.2323i,+4368.44+35.8546j,+3175.03+28.3554i,+3521.87+28.4913j,+2767.24+28.3141j,+3722.36+35.5722j,+3405.47+28.4244j,+1078.21+7.0638i,+562.275+7.01168j,+1714.63+14.1147j,+5260.94+29.0002i,+4013.98+35.6113j,+1666.2+14.1212i,+2776.98+28.2956i,+1965.52+14.1478i,+1802.73+14.1246j,+2647.4+21.3289j,+545.674+7.01056i,+620.68+7.01319j,+2454.63+21.2386j,+3207.34+28.4702j,+2759.98+21.3444i,+2292.19+14.2294j,+1717.76+14.1077i,+4752.56+21.8784i,+2514.54+21.2462i,+455.151+7.00756j,+458.197+7.01019j,+796.696+7.02479i,+943.321+7.04197j,+3823.78+28.6896j,+2403.08+28.2345j,+6003.67+29.1998i,+2190.58+14.2283j,+1843.52+14.1402j,+2418.95+21.2307i,+2677.4+21.303i,+641.842+7.02053j,+817.964+7.03551j,+2954.72+28.3488i,+1920.03+14.1641j,+5888.27+36.2819j,+5056.6+36.2437j,+2657.81+21.2957j,+2953.09+21.3544j,+4218.58+35.7316j,+2554.23+28.247j,+1705.66+14.1296i,+2718.6+21.3116j,+3295.84+21.5114j,+1751.65+14.0981j,+2027.46+14.1585j
2021-07-01 01:00:00 CDT,+1664.06+14.128i,+2344.38+28.2164j,+2506.8+21.2513i,+1614.79+14.1002i,+1604.39+14.1032j,+2500.13+21.2493i,+498.705+7.00784i,+603.671+7.01523j,+5251.49+28.9929j,+2298.43+14.2364j,+1420.61+14.0646j,+2984.09+21.3238j,+752.834+7.0283i,+499.007+7.00861j,+2549.79+21.2714j,+1941.45+14.1373j,+1457.94+14.0758j,+2805.18+28.303j,+1621.12+14.1145j,+2794.87+21.3448j,+1941.8+14.1485j,+436.826+7.00709j,+1949.21+14.1494j,+4504.79+28.713j,+6326.24+29.2725i,+1253.89+14.0583j,+1583.9+14.0863i,+1885.17+14.1304j,+1463.93+14.0799j,+4221.2+35.7087j,+3572.71+28.469j,+697.242+7.01936i,+676.543+7.01854j,+2336.53+21.2143j,+2146.87+21.1979i,+4039.92+35.671j,+2936.16+28.2842i,+3292.65+28.4016j,+2539.88+28.2419j,+3627.29+35.5311j,+3349.1+28.4033j,+851.497+7.03169i,+562.291+7.0121j,+1512.91+14.0792j,+5064.98+28.8917i,+3941.35+35.578j,+1666.22+14.1212i,+2601.13+28.2448i,+1965.57+14.1478i,+1708.3+14.1055j,+2425.62+21.2525j,+514.727+7.00911i,+620.698+7.01319j,+2225.99+21.1776j,+3133.42+28.4371j,+2500.73+21.2542i,+1945.42+14.1391j,+1717.8+14.1077i,+2632.6+21.2745i,+2325.59+21.1948i,+455.193+7.00756j,+458.212+7.01019j,+718.192+7.01803i,+943.348+7.04199j,+3405+28.4824j,+2403.15+28.2346j,+5929.04+29.1578i,+2120.12+14.2063j,+1843.59+14.1402j,+2373.58+21.2199i,+2307.89+21.1924i,+641.901+7.02053j,+650.233+7.01777j,+2954.75+28.3488i,+1920.1+14.1641j,+5487.45+36.0381j,+4531.61+35.8873j,+2566.18+21.2649j,+2578.17+21.2369j,+3766.68+35.5198j,+2393.68+28.204j,+1705.71+14.1296i,+2442.1+21.2241j,+2724.61+21.2861j,+1751.81+14.0981j,+1931.33+14.1363j
2021-07-01 01:30:00 CDT,+1523.45+14.0977i,+2288.35+28.2018j,+2255.95+21.1814i,+1614.76+14.1002i,+1518.76+14.087j,+2500.05+21.2493i,+498.689+7.00784i,+603.68+7.01522j,+4972.09+28.8513j,+2170.44+14.1975j,+1382.6+14.0606j,+2894.28+21.2952j,+670.873+7.01974i,+470.955+7.00745j,+2358.96+21.2171j,+1830.15+14.118j,+3028.74+14.2911j,+2748.4+28.2844j,+1572.81+14.1058j,+2607.4+21.2772j,+1883.01+14.1367j,+436.832+7.00709j,+1755.77+14.1083j,+4234.33+28.596j,+6278.05+29.2494i,+1180.56+14.0485j,+1583.87+14.0863i,+1704.43+14.0966j,+1365.44+14.0647j,+4209.66+35.7073j,+3343.57+28.3862j,+627.849+7.01401i,+608.735+7.01335j,+2262.27+21.1938j,+2005.47+21.1614i,+3861.64+35.5891j,+2851.01+28.2648i,+3237.15+28.3842j,+2427.36+28.2121j,+3375.45+35.4243j,+3142.3+28.3382j,+851.461+7.03169i,+529.691+7.01018j,+1475.64+14.0744j,+4922.66+28.8235i,+3651.61+35.4616j,+1423.52+14.076i,+2480.32+28.2135i,+1713.69+14.0999i,+1626.13+14.091j,+2173.83+21.1807j,+514.705+7.00911i,+610.505+7.01295j,+2171.09+21.1679j,+2769.46+28.299j,+2285.09+21.1935i,+1945.47+14.1391j,+1584.51+14.0857i,+2632.47+21.2745i,+6196.36+22.1976i,+429.162+7.0065j,+408.826+7.00713j,+718.162+7.01803i,+757.101+7.02156j,+3316.44+28.4441j,+2210.59+28.1835j,+11264.5+31.956i,+1817.63+14.1288j,+1600.74+14.093j,+2207.76+21.1758i,+2307.76+21.1924i,+572.091+7.01432j,+650.25+7.01777j,+2656.23+28.2561i,+1629.4+14.0992j,+5324.52+35.9507j,+4384.71+35.805j,+2295.11+21.1888j,+2578.24+21.2369j,+3707.91+35.4954j,+2326.56+28.1873j,+1527.16+14.0916i,+2351.23+21.1995j,+2724.69+21.2861j,+1686.2+14.0904j,+1869.43+14.1254j
2021-07-01 02:00:00 CDT,+1423.37+14.0789i,+2124.25+28.1605j,+2256.04+21.1814i,+1590+14.099i,+1474.91+14.0805j,+2310.07+21.1988i,+471.862+7.00693i,+594.776+7.01508j,+4883.15+28.8075j,+2057.51+14.167j,+1382.87+14.0607j,+2763.1+21.2597j,+670.92+7.01974i,+470.951+7.00745j,+2358.97+21.2171j,+1830.14+14.118j,+2973.31+14.2788j,+2580.31+28.2375j,+1487.44+14.0888j,+2503.52+21.2441j,+1828.09+14.1268j,+394.78+7.00524j,+1755.77+14.1083j,+4192.93+28.5832j,+4500.07+28.6558i,+1171.61+14.0481j,+1468.59+14.0704i,+1704.42+14.0966j,+1338.52+14.0616j,+5243.04+35.9353j,+3243.84+28.3601j,+627.895+7.01401i,+608.728+7.01336j,+2154.59+21.1686j,+1959.52+21.1501i,+3721.51+35.5282j,+2748.99+28.2409i,+3131.59+28.3549j,+2330.81+28.1889j,+3337.84+35.4148j,+3113.84+28.3305j,+687.694+7.01669i,+529.685+7.01036j,+1396.61+14.0636j,+4825.07+28.7822i,+3613.76+35.4498j,+1423.59+14.076i,+2414.14+28.1987i,+1713.83+14.0999i,+1579.09+14.0844j,+2086.58+21.1593j,+506.307+7.00895i,+610.499+7.01296j,+2080.92+21.1479j,+2732.26+28.2887j,+2172.05+21.1675i,+1796.68+14.1109j,+1584.64+14.0857i,+2396.54+21.2072i,+2133.52+21.1521i,+429.156+7.0065j,+408.824+7.00713j,+677.685+7.01558i,+757.093+7.02156j,+3131.34+28.3766j,+2210.56+28.1835j,+4097.28+28.5701i,+1780.16+14.1223j,+1600.73+14.093j,+2195.34+21.1749i,+2143.3+21.1568i,+572.084+7.01433j,+584.012+7.0127j,+2656.52+28.2561i,+1629.39+14.0992j,+5146.46+35.8682j,+4047.2+35.6369j,+3626.76+21.4278j,+2422.95+21.2008j,+3515.18+35.4296j,+2251.02+28.1735j,+1527.29+14.0916i,+2230.93+21.1721j,+2488.54+21.2187j,+1686.18+14.0904j,+1820.55+14.1172j
2021-07-01 02:30:00 CDT,+1367.75+14.0697i,+2098.85+28.1565j,+2127.55+21.1563i,+1590.02+14.099i,+1430.81+14.0745j,+2310.1+21.1988i,+471.87+7.00693i,+594.78+7.01508j,+4783.45+28.7635j,+1993.87+14.1537j,+1371.28+14.06j,+2714.85+21.2489j,+630.719+7.01675i,+463.115+7.0073j,+2288.72+21.2044j,+1800.61+14.1162j,+2966.05+14.2777j,+2549.91+28.2307j,+1899.03+137.573j,+2410.14+21.2208j,+1814.69+14.1259j,+394.782+7.00524j,+1656.22+14.0935j,+2399.15+28.2072j,+4488.19+28.6533i,+1134.3+14.0443j,+1468.61+14.0704i,+1609.73+14.0841j,+1288.39+14.0559j,+5243.63+35.9359j,+3154.07+28.332j,+592.276+7.01208i,+574.034+7.01149j,+2115.9+21.1611j,+1901.93+21.1401i,+3653.72+35.5091j,+2723.7+28.2377i,+3117.64+28.3534j,+2281.85+28.1799j,+4889.77+35.7925j,+3030.38+28.3127j,+687.707+7.01669i,+521.365+7.01017j,+1386.16+14.0629j,+3116.27+28.362i,+3476.29+35.4101j,+1330.41+14.063i,+2361.94+28.189i,+1621.75+14.0865i,+1534.62+14.0788j,+1981.72+21.137j,+506.317+7.00895i,+610.868+7.01301j,+2068.26+21.1471j,+2501.19+28.2244j,+2087.18+21.1487i,+1796.69+14.1109j,+1527.14+14.079i,+2396.57+21.2072i,+2082.27+21.1444i,+422.24+7.00639j,+384.474+7.00606j,+677.698+7.01558i,+683.838+7.01586j,+3404.08+121.019j,+2131.07+28.1692j,+2658.99+28.268i,+1660.51+14.0987j,+1510.15+14.0782j,+2111.56+21.1582i,+2143.33+21.1568i,+537.813+7.01216j,+584.017+7.0127j,+2541.59+28.2277i,+1503.58+14.0789j,+3662.66+35.4592j,+3984.2+35.6142j,+3510.51+21.3932j,+2422.97+21.2008j,+3485.08+35.4203j,+2217.12+28.1669j,+1437.93+14.0782i,+2184.49+21.1632j,+2488.56+21.2187j,+1671.68+14.0893j,+1804.06+14.1161j
2021-07-01 03:00:00 CDT,+1316.44+14.0632i,+2016.31+28.1411j,+2127.57+21.1563i,+1591.37+14.0996i,+5900.59+15.0829j,+2236.6+21.1859i,+463.427+7.00672i,+595.349+7.01517j,+4736.38+28.7454j,+1936.94+14.1425j,+1421.68+14.0667j,+2656.01+21.2358j,+630.725+7.01675i,+463.108+7.0073j,+2288.63+21.2044j,+1800.59+14.1162j,+2950.72+14.2755j,+2483.82+28.2182j,+1433.3+14.0817j,+2357.17+21.2085j,+1799.7+14.1252j,+372.809+7.00455j,+7127.93+15.5728j,+2390.56+28.2068j,+4463.52+28.6489i,+1134.52+14.0444j,+1419.1+14.0655i,+2032.84+137.566j,+1280.16+14.0555j,+5102.49+35.872j,+3128.74+28.3292j,+592.282+7.01208i,+574.026+7.0115j,+2068.13+21.1519j,+1877.53+21.1357i,+3594.74+35.4903j,+2677.73+28.2293i,+3094.76+28.3513j,+2238.34+28.1724j,+4883.13+35.7916j,+3022.93+28.3119j,+623.461+7.01258i,+521.357+7.01022j,+1344.02+14.0585j,+3092.23+28.3595i,+3465.52+35.4087j,+1330.43+14.063i,+2332.46+28.1834i,+1621.78+14.0865i,+1523.04+14.078j,+1936.34+21.1293j,+506.63+7.00899i,+610.859+7.01302j,+2022.26+21.1389j,+2491.79+28.2236j,+2037.81+21.1411i,+1733.22+14.1026j,+1527.17+14.079i,+2286.71+21.1851i,+2043.62+21.1379i,+422.217+7.00639j,+384.447+7.00606j,+666.491+7.01529i,+683.829+7.01586j,+3019.37+28.3476j,+2131.04+28.1692j,+2650.12+28.2672i,+1649.08+14.0981j,+4993.84+14.7753j,+2112.03+21.1584i,+2078.36+21.1474i,+537.783+7.01216j,+550.369+7.0109j,+2541.61+28.2277i,+1503.45+14.0789j,+9073.23+37.5739j,+3863.43+35.567j,+3497.42+21.391j,+3972.87+21.5035j,+3412.26+35.4027j,+2198.96+28.1656j,+1437.96+14.0782i,+2132.3+21.1548j,+2378.98+21.1967j,+1671.58+14.0893j,+1791.09+14.1153j
2021-07-01 03:30:00 CDT,+1250.62+14.0568i,+1958.02+28.1344j,+1943.85+21.1352i,+1508.38+14.0917i,+1325.39+14.0665j,+2148.34+21.1741i,+454.263+7.00646i,+595.363+7.01517j,+4671.86+28.7361j,+1859.98+14.1344j,+1350.2+14.0606j,+2616.01+21.2302j,+597.617+7.0157i,+463.375+7.00733j,+2176.06+21.1904j,+1734.23+14.1094j,+2922.69+14.2704j,+2421.33+28.2094j,+1386.3+14.0779j,+2273.1+21.1981j,+1741.55+14.1191j,+372.818+7.00455j,+1583.6+14.0873j,+2268.14+28.187j,+2905.37+28.2969i,+1055.92+14.0394j,+1355.82+14.0601i,+1541.78+14.0784j,+1201.13+14.0499j,+3976.51+128.14j,+2965.51+28.2956j,+555.478+7.01091i,+539.96+7.01045j,+1948.4+21.1378j,+1801.11+21.1279i,+3383.34+35.4474j,+2590.46+28.2154i,+2916.46+28.3188j,+2192.56+28.1667j,+4747.46+35.7543j,+2936.71+28.2976j,+591.289+7.01138i,+499.202+7.00956j,+1302.72+14.0552j,+2950.77+28.3346i,+3304+35.378j,+1219.66+14.0528i,+2229.94+28.1696i,+1523.13+14.076i,+1434.41+14.0705j,+1772.66+21.1091j,+480.582+7.0082i,+642.009+7.01596j,+2409.61+144.658j,+2360.9+28.1985j,+1951.5+21.1285i,+1733.34+14.1026j,+1436.47+14.0714i,+2177.87+21.1702i,+1958.85+21.1281i,+413.825+7.0062j,+368.458+7.00576j,+666.49+7.01529i,+629.998+7.01314j,+3189.98+120.978j,+2042.5+28.1593j,+2606.7+28.2723i,+1525.87+14.083j,+1459.77+14.0754j,+2028.08+21.149i,+3537.27+21.3988i,+519.552+7.0117j,+522.243+7.00996j,+2431.01+28.2152i,+1372.51+14.0662j,+3388.4+35.3995j,+3699.04+35.5302j,+3383.95+21.3655j,+3855.68+21.4753j,+3361.43+35.3927j,+2131.17+28.1569j,+1390.84+14.0751i,+2487.91+144.616j,+2210.72+21.1729j,+1681.12+14.0936j,+1646.43+14.1003j
2021-07-01 04:00:00 CDT,+964.108+14.0379i,+1565.46+28.093j,+880.749+21.0431i,+1046.66+14.0728i,+735.319+14.0294j,+1507.67+21.1035i,+389.004+7.00478i,+646.288+7.02003j,+2296.31+28.2297j,+1406.23+14.0898j,+960.45+14.0403j,+2484.91+21.2182j,+427.443+7.01032i,+463.385+7.00733j,+1443.03+21.109j,+1251.72+14.0652j,+1121.44+14.0469j,+2031.34+28.1573j,+1035.18+14.0523j,+1821.16+21.1423j,+1319.64+14.0797j,+366.511+7.00445j,+1260.17+14.0591j,+1788.59+28.1335j,+1907.75+28.1611i,+603.035+14.0187j,+893.289+14.0286i,+1252.92+14.0536j,+731.305+14.0221j,+2855.68+35.3461j,+2205.88+28.1841j,+362.053+7.00545i,+363.269+7.0055j,+4701.91+21.7064j,+1324.16+21.0827i,+1945.15+35.2137j,+1952+28.1271i,+1692.77+28.1572j,+1914.93+28.1324j,+4065.37+35.5814j,+2421.14+28.2129j,+327.551+7.00364i,+338.165+7.00538j,+992.414+14.0336j,+2013.84+28.1927i,+2381.76+35.2174j,+707.932+14.0225i,+1597.08+28.1002i,+1118.55+14.0432i,+902.9+14.0325j,+924.208+21.0395j,+333.109+7.00573i,+535.051+7.01204j,+1455.87+21.0828j,+2007+28.1513j,+1638.08+21.0945i,+1719.87+14.102j,+876.626+14.0316i,+1377.11+21.0845i,+1425.78+21.0733i,+351.671+7.00472j,+294.981+7.00425j,+666.897+7.01535i,+518.174+7.00915j,+1895.04+28.1812j,+1520.94+28.1023j,+1949.85+28.1807i,+1071.85+14.0469j,+1076.41+14.0456j,+1639.87+21.1124i,+2882.71+21.2708i,+445.527+7.00948j,+312.498+7.00468j,+1678.95+28.1204i,+814.407+14.0287j,+5585.31+36.0061j,+2555.1+35.3045j,+2940.11+21.2793j,+3057.7+21.3129j,+3099.07+35.3524j,+1749.24+28.1163j,+1214+14.061i,+1660.84+21.1011j,+983.218+21.0543j,+1350.08+14.0628j,+609.138+14.0286j
2021-07-01 04:30:00 CDT,-81.4548+14.0098i,+173.638+28.0215j,-3167.51+21.3271i,-1210.03+14.0841i,-1514.8+14.0832j,-891.622+21.0581i,+139.814+7.00073i,+646.362+7.02003j,-56.0017+28.1159j,-266.44+14.0316j,-946.61+14.0438j,+1803.41+21.1288j,-220.449+7.00627i,+497.857+7.00927j,-1221.35+21.1144j,-446.877+14.0404j,+381.225+14.0154j,+586.479+28.0414j,-199.983+14.0279j,+153.316+21.0418j,+1417.25+14.0984j,+366.559+7.00445j,+28.6645+14.0107j,-215.005+28.0378j,-2090.36+28.1945i,-1268+14.057j,-827.696+14.0251i,+152.994+14.0064j,-1058.97+14.0401j,-94.0472+35.1277j,-951.291+28.0637j,-374.692+7.00575i,-309.672+7.00447j,-1747.55+21.1217j,-402.822+21.0427i,-3378.14+35.4771j,-335.929+28.0236i,-3105.41+28.38j,+932.91+28.0513j,+1251.6+35.1234j,+576.952+28.0635j,-547.481+7.0095i,-233.784+7.00522j,-95.491+14.0062j,-1498.11+28.1508i,-1073.94+35.0898j,-1205.28+14.0554i,-882.181+28.0514i,-372.667+14.0137i,-1124.54+14.0463j,-2270.78+21.1719j,-375.233+7.00662i,+237.946+7.01066j,-374.845+21.0386j,+626.053+28.0381j,+465.679+21.0194i,+1720.53+14.1019j,-1197.08+14.0568i,-1580.51+21.1029i,-508.889+21.0239i,+147.583+7.00254j,+15.3023+7.00162j,+666.977+7.01535i,+81.1496+7.00127j,-178.265+28.0724j,-374.271+28.0497j,+1276.08+28.1509i,-673.682+14.0261j,-276.357+14.0227j,-51.4448+21.0305i,+432.161+21.0216i,+164.03+7.00427j,-453.345+7.00805j,-1039.12+28.0925i,-1322.4+14.0625j,-2791.03+35.288j,-1576.53+35.1942j,+1236.27+21.0615j,-135.514+21.0265j,+1929.18+35.172j,+138.088+28.0231j,+541.22+14.0251i,+159.281+21.0174j,-3594.81+21.4204j,+285.195+14.0258j,-3266.63+14.3526j
