\\ Load Data
\\Index, Label, Node, Phases, Model
1, house1_tm_336, 22, AS, HOUSE
2, house2_tm_336, 22, AS, HOUSE
3, house1_tm_334, 38, BS, HOUSE
4, house2_tm_334, 38, BS, HOUSE
5, house3_tm_334, 38, BS, HOUSE
6, house4_tm_334, 38, BS, HOUSE
7, house1_tm_350, 39, AS, HOUSE
8, house2_tm_350, 39, AS, HOUSE
9, house3_tm_350, 39, AS, HOUSE
10, house1_tm_426, 53, AS, HOUSE
11, house2_tm_426, 53, AS, HOUSE
12, house1_tm_427, 54, CS, HOUSE
13, house2_tm_427, 54, CS, HOUSE
14, house1_tm_335, 62, AS, HOUSE
15, house2_tm_335, 62, AS, HOUSE
16, house3_tm_335, 62, AS, HOUSE
17, house1_tm_403, 70, AS, HOUSE
18, house1_tm_404, 71, BS, HOUSE
19, house1_tm_405, 72, CS, HOUSE
20, house2_tm_405, 72, CS, HOUSE
21, house3_tm_405, 72, CS, HOUSE
22, house4_tm_405, 72, CS, HOUSE
23, house1_tm_433, 84, BS, HOUSE
24, house2_tm_433, 84, BS, HOUSE
25, house1_tm_428, 89, CS, HOUSE
26, house2_tm_428, 89, CS, HOUSE
27, house1_tm_332, 94, CS, HOUSE
28, house2_tm_332, 94, CS, HOUSE
29, house3_tm_332, 94, CS, HOUSE
30, house1_tm_406, 103, AS, HOUSE
31, house1_tm_407, 104, BS, HOUSE
32, house1_tm_408, 105, CS, HOUSE
33, house2_tm_408, 105, CS, HOUSE
34, house3_tm_408, 105, CS, HOUSE
35, house1_tm_351, 112, BS, HOUSE
36, house2_tm_351, 112, BS, HOUSE
37, house1_tm_352, 113, CS, HOUSE
38, house2_tm_352, 113, CS, HOUSE
39, house1_tm_432, 117, BS, HOUSE
40, house2_tm_432, 117, BS, HOUSE
41, house3_tm_432, 117, BS, HOUSE
42, house4_tm_432, 117, BS, HOUSE
43, house1_tm_429, 126, CS, HOUSE
44, house2_tm_429, 126, CS, HOUSE
45, house1_tm_321, 132, CS, HOUSE
46, house2_tm_321, 132, CS, HOUSE
47, house3_tm_321, 132, CS, HOUSE
48, house1_tm_333, 137, BS, HOUSE
49, house2_tm_333, 137, BS, HOUSE
50, house1_tm_327, 146, BS, HOUSE
51, house1_tm_353, 149, CS, HOUSE
52, house2_tm_353, 149, CS, HOUSE
53, house1_tm_431, 150, BS, HOUSE
54, house2_tm_431, 150, BS, HOUSE
55, house3_tm_431, 150, BS, HOUSE
56, house4_tm_431, 150, BS, HOUSE
57, house1_tm_435, 151, AS, HOUSE
58, house2_tm_435, 151, AS, HOUSE
59, house3_tm_435, 151, AS, HOUSE
60, house4_tm_435, 151, AS, HOUSE
61, house1_tm_437, 153, CS, HOUSE
62, house2_tm_437, 153, CS, HOUSE
63, house1_tm_481, 156, AS, HOUSE
64, house2_tm_481, 156, AS, HOUSE
65, house1_tm_430, 158, BS, HOUSE
66, house2_tm_430, 158, BS, HOUSE
67, house1_tm_317, 162, CS, HOUSE
68, house2_tm_317, 162, CS, HOUSE
69, house1_tm_322, 167, BS, HOUSE
70, house2_tm_322, 167, BS, HOUSE
71, house3_tm_322, 167, BS, HOUSE
72, house4_tm_322, 167, BS, HOUSE
73, house5_tm_322, 167, BS, HOUSE
74, house1_tm_323, 169, CS, HOUSE
75, house2_tm_323, 169, CS, HOUSE
76, house3_tm_323, 169, CS, HOUSE
77, house4_tm_323, 169, CS, HOUSE
78, house1_tm_409, 172, AS, HOUSE
79, house1_tm_410, 173, BS, HOUSE
80, house1_tm_411, 174, CS, HOUSE
81, house2_tm_411, 174, CS, HOUSE
82, house3_tm_411, 174, CS, HOUSE
83, house1_tm_328, 182, AS, HOUSE
84, house2_tm_328, 182, AS, HOUSE
85, house3_tm_328, 182, AS, HOUSE
86, house1_tm_330, 184, BS, HOUSE
87, house2_tm_330, 184, BS, HOUSE
88, house3_tm_330, 184, BS, HOUSE
89, house4_tm_330, 184, BS, HOUSE
90, house5_tm_330, 184, BS, HOUSE
91, house1_tm_434, 186, AS, HOUSE
92, house2_tm_434, 186, AS, HOUSE
93, house3_tm_434, 186, AS, HOUSE
94, house4_tm_434, 186, AS, HOUSE
95, house1_tm_436, 187, CS, HOUSE
96, house2_tm_436, 187, CS, HOUSE
97, house3_tm_436, 187, CS, HOUSE
98, house4_tm_436, 187, CS, HOUSE
99, house1_tm_474, 191, BS, HOUSE
100, house2_tm_474, 191, BS, HOUSE
101, house3_tm_474, 191, BS, HOUSE
