# file...... Feeder_2_Solar_80_triplex_meter.csv
# date...... Wed Apr 26 16:57:03 2023
# user...... JKLiu
# host...... (null)
# group..... groupid=tmeter
# property.. voltage_12
# limit..... 0
# interval.. 1800
# timestamp,R2-12-47-3_tm_336,R2-12-47-3_tm_334,R2-12-47-3_tm_350,R2-12-47-3_tm_426,R2-12-47-3_tm_427,R2-12-47-3_tm_335,R2-12-47-3_tm_403,R2-12-47-3_tm_404,R2-12-47-3_tm_405,R2-12-47-3_tm_433,R2-12-47-3_tm_428,R2-12-47-3_tm_332,R2-12-47-3_tm_406,R2-12-47-3_tm_407,R2-12-47-3_tm_408,R2-12-47-3_tm_351,R2-12-47-3_tm_352,R2-12-47-3_tm_432,R2-12-47-3_tm_429,R2-12-47-3_tm_321,R2-12-47-3_tm_333,R2-12-47-3_tm_327,R2-12-47-3_tm_353,R2-12-47-3_tm_431,R2-12-47-3_tm_435,R2-12-47-3_tm_437,R2-12-47-3_tm_481,R2-12-47-3_tm_430,R2-12-47-3_tm_317,R2-12-47-3_tm_322,R2-12-47-3_tm_323,R2-12-47-3_tm_409,R2-12-47-3_tm_410,R2-12-47-3_tm_411,R2-12-47-3_tm_328,R2-12-47-3_tm_330,R2-12-47-3_tm_434,R2-12-47-3_tm_436,R2-12-47-3_tm_474,R2-12-47-3_tm_324,R2-12-47-3_tm_325,R2-12-47-3_tm_412,R2-12-47-3_tm_413,R2-12-47-3_tm_414,R2-12-47-3_tm_329,R2-12-47-3_tm_331,R2-12-47-3_tm_485,R2-12-47-3_tm_480,R2-12-47-3_tm_318,R2-12-47-3_tm_320,R2-12-47-3_tm_326,R2-12-47-3_tm_415,R2-12-47-3_tm_416,R2-12-47-3_tm_417,R2-12-47-3_tm_441,R2-12-47-3_tm_479,R2-12-47-3_tm_314,R2-12-47-3_tm_319,R2-12-47-3_tm_421,R2-12-47-3_tm_365,R2-12-47-3_tm_366,R2-12-47-3_tm_367,R2-12-47-3_tm_418,R2-12-47-3_tm_419,R2-12-47-3_tm_420,R2-12-47-3_tm_440,R2-12-47-3_tm_455,R2-12-47-3_tm_315,R2-12-47-3_tm_374,R2-12-47-3_tm_364,R2-12-47-3_tm_368,R2-12-47-3_tm_369,R2-12-47-3_tm_370,R2-12-47-3_tm_454,R2-12-47-3_tm_379,R2-12-47-3_tm_375,R2-12-47-3_tm_376,R2-12-47-3_tm_380,R2-12-47-3_tm_382,R2-12-47-3_tm_377,R2-12-47-3_tm_378,R2-12-47-3_tm_371,R2-12-47-3_tm_381,R2-12-47-3_tm_383,R2-12-47-3_tm_372,R2-12-47-3_tm_373
2021-07-01 00:00:00 CDT,+239.396-0.318373i,-119.939-207.277j,+239.775-0.0940458i,+239.771-0.0992252i,-119.792+207.68j,+239.765-0.0940672i,+239.499-0.282741i,-119.998-207.176j,-119.682+207.583j,-119.973-207.48j,-119.824+207.695j,-119.739+207.623j,+239.184-0.484925i,-119.992-207.249j,-119.798+207.671j,-119.972-207.553j,-119.812+207.693j,-119.965-207.566j,-119.762+207.645j,-119.712+207.595j,-119.943-207.334j,-119.99-207.261j,-119.346+207.419j,-119.959-207.471j,+239.698-0.114886i,-119.824+207.694j,+239.744-0.109709i,-119.975-207.529j,-119.731+207.616j,-119.844-207.154j,-119.73+207.597j,+239.247-0.443737i,-120.006-206.984j,-119.805+207.675j,+239.795-0.0817017i,-119.954-207.555j,+239.58-0.168452i,-119.821+207.679j,-119.968-207.585j,-119.925-207.501j,-119.735+207.6j,+239.094-0.544847i,-119.992-207.181j,-119.788+207.674j,+239.773-0.085338i,-119.948-207.539j,+239.73-0.117821i,+239.777-0.0778874i,+239.669-0.144041i,-119.705+207.597j,-119.539+207.399j,+235.449-2.86262i,-119.994-207.153j,-119.815+207.682j,-119.959-207.538j,+239.741-0.101243i,-119.687+207.59j,+239.188-0.270135i,+239.435-0.251495i,+239.723-0.105561i,-119.962-207.223j,-119.4+207.446j,+239.305-0.407968i,-120.019-206.668j,-119.743+207.625j,-119.946-207.31j,+239.779-0.0790566i,-119.661+207.575j,-119.673+207.575j,+239.478-0.228677i,+239.728-0.102938i,-119.977-206.945j,-119.213+207.35j,+239.772-0.0822238i,-119.654+207.563j,-119.916-207.462j,-119.915-207.444j,-119.706+207.584j,-119.53+207.469j,-119.918-207.483j,-119.927-207.514j,+239.68-0.136825i,-119.712+207.588j,-119.695+207.576j,-119.941-207.502j,-119.691+207.587j
2021-07-01 00:30:00 CDT,+239.795-0.0991733i,-119.958-207.601j,+239.828-0.0728517i,+239.797-0.0934218i,-119.816+207.7j,+239.799-0.0858177i,+239.522-0.276893i,-120.001-207.193j,-119.825+207.691j,-119.974-207.525j,-119.475+207.497j,-119.767+207.655j,+239.364-0.378407i,-119.993-207.317j,-119.831+207.699j,-119.976-207.588j,-119.829+207.711j,-119.966-207.589j,-119.774+207.658j,-119.755+207.643j,-119.944-207.366j,-119.993-207.276j,-119.798+207.692j,-119.962-207.512j,+239.681-0.130161i,-119.843+207.712j,+239.773-0.103496i,-119.976-207.588j,-119.772+207.662j,-119.86-207.32j,-119.764+207.641j,+239.404-0.351873i,-120.001-207.158j,-119.827+207.696j,+239.831-0.0681015i,-119.96-207.587j,+239.804-0.0735533i,-119.829+207.69j,-119.969-207.615j,-119.93-207.55j,-119.775+207.649j,+239.12-0.538621i,-119.993-207.259j,-119.807+207.692j,+239.744-0.102499i,-119.961-207.6j,+239.787-0.0953351i,+239.817-0.0667275i,+239.762-0.110037i,-119.743+207.642j,-119.767+207.649j,+239.518-0.279097i,-119.996-207.207j,-119.833+207.701j,-119.966-207.589j,+239.785-0.0875529i,-119.709+207.624j,+239.781-0.0992321i,+239.691-0.136143i,+239.798-0.0821558i,-119.96-207.289j,-119.521+207.532j,+239.331-0.401536i,-120.011-206.919j,-119.818+207.684j,-119.968-207.632j,+239.702-0.120232i,-119.716+207.628j,-119.728+207.632j,+239.803-0.0794423i,+239.789-0.0862527i,-119.969-207.122j,-119.235+207.386j,+239.814-0.0688583i,-119.721+207.628j,-119.913-207.44j,-119.917-207.477j,-119.753+207.638j,-119.739+207.629j,-119.919-207.507j,-119.928-207.542j,+239.78-0.0987905i,-119.749+207.636j,-119.722+207.618j,-119.942-207.535j,-119.723+207.629j
2021-07-01 01:00:00 CDT,+239.819-0.0870113i,-119.966-207.638j,+239.831-0.0723149i,+239.809-0.0874934i,-119.831+207.711j,+239.824-0.075178i,+239.563-0.252035i,-120.002-207.235j,-119.781+207.66j,-119.979-207.559j,-119.845+207.717j,-119.791+207.67j,+239.367-0.377689i,-119.996-207.325j,-119.836+207.703j,-119.979-207.596j,-119.843+207.72j,-119.972-207.618j,-119.829+207.707j,-119.778+207.655j,-119.956-207.553j,-119.992-207.379j,-119.803+207.696j,-119.966-207.525j,+239.692-0.124577i,-119.856+207.722j,+239.798-0.0893543i,-119.98-207.595j,-119.787+207.669j,-119.941-207.56j,-119.782+207.651j,+239.408-0.351097i,-120.005-207.166j,-119.845+207.709j,+239.84-0.0646442i,-119.964-207.609j,+239.817-0.0675278i,-119.847+207.704j,-119.975-207.635j,-119.942-207.582j,-119.788+207.655j,+239.293-0.427285i,-119.997-207.267j,-119.829+207.706j,+239.755-0.0985643i,-119.965-207.612j,+239.791-0.0933281i,+239.828-0.0616354i,+239.769-0.11044i,-119.762+207.652j,-119.788+207.661j,+239.545-0.26321i,-119.999-207.215j,-119.849+207.712j,-119.97-207.601j,+239.802-0.0790744i,-119.747+207.645j,+239.788-0.0996356i,+239.803-0.0843254i,+239.815-0.0778322i,-119.97-207.314j,-119.532+207.537j,+239.393-0.362454i,-120.015-206.927j,-119.837+207.698j,-119.972-207.64j,+239.708-0.118197i,-119.733+207.636j,-119.739+207.638j,+239.813-0.0787023i,+239.815-0.0774955i,-119.98-207.148j,-119.379+207.46j,+239.818-0.068088i,-119.733+207.634j,-119.926-207.484j,-119.93-207.525j,-119.769+207.647j,-119.768+207.647j,-119.932-207.553j,-119.94-207.578j,+239.788-0.0991524i,-119.774+207.65j,-119.76+207.642j,-119.952-207.56j,-119.741+207.639j
2021-07-01 01:30:00 CDT,+239.824-0.0826308i,-119.97-207.645j,+239.837-0.0681838i,+239.803-0.0894786i,-119.84+207.715j,+239.815-0.0778393i,+239.553-0.255058i,-120.006-207.239j,-119.794+207.667j,-119.981-207.575j,-119.85+207.719j,-119.801+207.674j,+239.416-0.341585i,-119.999-207.354j,-119.85+207.709j,-119.982-207.61j,-119.719+207.645j,-119.974-207.625j,-119.836+207.71j,-119.794+207.664j,-119.962-207.563j,-119.994-207.383j,-119.821+207.705j,-119.97-207.544j,+239.688-0.125635i,-119.864+207.726j,+239.793-0.0911666i,-119.983-207.616j,-119.803+207.677j,-119.946-207.565j,-119.798+207.66j,+239.447-0.321305i,-120.006-207.231j,-119.853+207.711j,+239.841-0.0635344i,-119.968-207.62j,+239.815-0.0679456i,-119.852+207.706j,-119.977-207.645j,-119.949-207.597j,-119.803+207.664j,+239.28-0.431304i,-119.999-207.3j,-119.837+207.708j,+239.754-0.0984789i,-119.968-207.627j,+239.806-0.0840063i,+239.827-0.0613205i,+239.774-0.102957i,-119.777+207.659j,-119.808+207.672j,+239.532-0.267232i,-120.003-207.228j,-119.857+207.714j,-119.976-207.626j,+239.807-0.0755109i,-119.756+207.648j,+239.784-0.0975525i,+239.787-0.0883692i,+239.609-0.177092i,-119.975-207.342j,-119.581+207.56j,+239.38-0.366475i,-120.01-207.098j,-119.845+207.7j,-119.978-207.656j,+239.49-0.214803i,-119.765+207.654j,-119.769+207.653j,+239.805-0.0788023i,+239.797-0.0822048i,-119.982-207.215j,-119.389+207.463j,+239.809-0.0692758i,-119.766+207.652j,-119.932-207.496j,-119.937-207.537j,-119.791+207.66j,-119.778+207.651j,-119.939-207.561j,-119.946-207.587j,+239.786-0.0950933i,-119.788+207.657j,-119.77+207.646j,-119.958-207.572j,-119.755+207.645j
2021-07-01 02:00:00 CDT,+239.844-0.074319i,-119.967-207.653j,+239.85-0.0644527i,+239.819-0.0841645i,-119.842+207.719j,+239.841-0.0683466i,+239.591-0.236839i,-120.002-207.246j,-119.794+207.671j,-119.979-207.585j,-119.848+207.72j,-119.804+207.68j,+239.438-0.335286i,-119.995-207.353j,-119.846+207.711j,-119.979-207.61j,-119.721+207.649j,-119.972-207.634j,-119.84+207.715j,-119.795+207.669j,-119.957-207.567j,-119.989-207.42j,-119.818+207.706j,-119.967-207.546j,+239.771-0.090606i,-119.863+207.728j,+239.818-0.0813581i,-119.98-207.616j,-119.801+207.68j,-119.937-207.521j,-119.797+207.665j,+239.469-0.314739i,-120.001-207.23j,-119.854+207.717j,+239.856-0.0584294i,-119.965-207.626j,+239.835-0.0612921i,-119.853+207.71j,-119.975-207.65j,-119.944-207.597j,-119.8+207.666j,+239.425-0.344871i,-119.995-207.299j,-119.839+207.714j,+239.771-0.0928292i,-119.966-207.629j,+239.821-0.0794746i,+239.845-0.0556218i,+239.798-0.0958641i,-119.776+207.663j,-119.808+207.677j,+239.56-0.256541i,-119.998-207.227j,-119.857+207.719j,-119.97-207.627j,+239.828-0.0681569i,-119.763+207.657j,+239.808-0.0904595i,+239.823-0.0756499i,+239.833-0.0700484i,-119.97-207.341j,-119.575+207.562j,+239.432-0.340139i,-120.006-207.097j,-119.847+207.707j,-119.972-207.655j,+239.788-0.0838132i,-119.764+207.658j,-119.763+207.654j,+239.831-0.0712631i,+239.832-0.0703756i,-119.977-207.214j,-119.436+207.492j,+239.841-0.0596504i,-119.76+207.653j,-119.928-207.504j,-119.933-207.551j,-119.725+207.621j,-119.779+207.656j,-119.934-207.569j,-119.941-207.591j,+239.811-0.0878582i,-119.787+207.661j,-119.775+207.654j,-119.953-207.571j,-119.754+207.649j
2021-07-01 02:30:00 CDT,+239.852-0.0711626i,-119.967-207.657j,+239.859-0.0606737i,+239.823-0.0838885i,-119.845+207.72j,+239.844-0.0675439i,+239.595-0.235957i,-120.001-207.249j,-119.798+207.673j,-119.979-207.595j,-119.849+207.72j,-119.807+207.683j,+239.473-0.314621i,-119.994-207.363j,-119.849+207.713j,-119.979-207.615j,-119.721+207.65j,-119.973-207.641j,-119.812+207.685j,-119.8+207.674j,-119.957-207.57j,-119.989-207.422j,-119.826+207.711j,-119.973-207.649j,+239.775-0.0901324i,-119.865+207.729j,+239.822-0.0810989i,-119.98-207.629j,-119.806+207.684j,-119.937-207.522j,-119.802+207.668j,+239.501-0.296274i,-119.999-207.264j,-119.855+207.718j,+239.865-0.0556717i,-119.965-207.631j,+239.84-0.060588i,-119.853+207.71j,-119.975-207.656j,-119.938-207.534j,-119.805+207.67j,+239.431-0.343775i,-119.994-207.31j,-119.84+207.714j,+239.841-0.062284i,-119.966-207.637j,+239.832-0.0749395i,+239.851-0.0544445i,+239.81-0.0905941i,-119.781+207.667j,-119.814+207.682j,+239.566-0.255448i,-119.998-207.23j,-119.857+207.719j,-119.971-207.643j,+239.836-0.0657795i,-119.765+207.659j,+239.817-0.0867608i,+239.827-0.0748077i,+239.84-0.0677426i,-119.97-207.35j,-119.596+207.574j,+239.438-0.339051i,-120.002-207.165j,-119.84+207.698j,-119.972-207.662j,+239.85-0.057721i,-119.775+207.665j,-119.772+207.66j,+239.839-0.0681486i,+239.836-0.0693241i,-119.975-207.247j,-119.438+207.493j,+239.853-0.055971i,-119.772+207.66j,-119.935-207.569j,-119.934-207.558j,-119.732+207.626j,-119.781+207.658j,-119.935-207.575j,-119.942-207.598j,+239.822-0.0826796i,-119.791+207.664j,-119.778+207.655j,-119.953-207.575j,-119.757+207.652j
2021-07-01 03:00:00 CDT,+239.859-0.0694553i,-119.962-207.655j,+239.862-0.061314i,+239.826-0.0849671i,-119.476+207.501j,+239.852-0.065991i,+239.604-0.232486i,-119.998-207.245j,-119.789+207.667j,-119.975-207.598j,-119.833+207.709j,-119.795+207.674j,+239.476-0.315202i,-119.99-207.36j,-119.839+207.706j,-119.975-207.613j,-119.71+207.64j,-119.969-207.642j,-119.832+207.708j,-119.785+207.663j,-119.949-207.559j,-119.984-207.44j,-119.374+207.442j,-119.969-207.647j,+239.78-0.0906095i,-119.854+207.72j,+239.83-0.0796478i,-119.964-207.586j,-119.789+207.672j,-119.93-207.516j,-119.785+207.657j,+239.504-0.296834i,-119.996-207.261j,-119.848+207.712j,+239.87-0.0563043i,-119.962-207.631j,+239.845-0.0606981i,-119.842+207.701j,-119.971-207.656j,-119.93-207.522j,-119.787+207.658j,+239.482-0.313012i,-119.99-207.307j,-119.833+207.709j,+239.845-0.0631017i,-119.962-207.635j,+239.836-0.0757542i,+239.856-0.0547403i,+239.816-0.08999i,-119.763+207.654j,-119.799+207.671j,+239.569-0.256149i,-119.995-207.227j,-119.85+207.713j,-119.967-207.64j,+239.843-0.0653619i,-119.752+207.65j,+239.823-0.0861566i,+239.839-0.0712221i,+239.848-0.0661729i,-119.961-207.336j,-119.577+207.561j,+239.45-0.334131i,-119.998-207.162j,-119.841+207.703j,-119.968-207.659j,+239.853-0.0581378i,-119.759+207.654j,-119.47+207.481j,+239.845-0.0675502i,+239.846-0.0671071i,-119.967-207.233j,-119.445+207.494j,+239.856-0.0565385i,-119.749+207.644j,-119.902-207.327j,-119.923-207.543j,-119.709+207.61j,-119.687+207.596j,-119.924-207.556j,-119.931-207.579j,+239.829-0.0820697i,-119.77+207.65j,-119.758+207.642j,-119.945-207.561j,-119.739+207.639j
2021-07-01 03:30:00 CDT,+239.864-0.0656647i,-119.968-207.669j,+239.87-0.0560055i,+239.833-0.0794684i,-119.854+207.726j,+239.853-0.0640017i,+239.61-0.227192i,-120.002-207.251j,-119.802+207.676j,-119.979-207.611j,-119.851+207.722j,-119.813+207.685j,+239.5-0.298275i,-119.994-207.366j,-119.855+207.717j,-119.979-207.624j,-119.726+207.652j,-119.973-207.652j,-119.849+207.721j,-119.808+207.677j,-119.959-207.585j,-119.988-207.445j,-119.833+207.715j,-119.974-207.659j,+239.84-0.0618891i,-119.873+207.734j,+239.836-0.0747838i,-119.98-207.638j,-119.815+207.687j,-119.94-207.583j,-119.81+207.672j,+239.531-0.278116i,-119.998-207.297j,-119.864+207.723j,+239.872-0.0530363i,-119.967-207.646j,+239.85-0.0568875i,-119.861+207.716j,-119.975-207.664j,-119.94-207.549j,-119.81+207.672j,+239.505-0.296554i,-119.993-207.333j,-119.847+207.719j,+239.849-0.0592838i,-119.967-207.648j,+239.846-0.0687025i,+239.861-0.0509882i,+239.818-0.0877083i,-119.791+207.67j,-119.826+207.687j,+239.588-0.242679i,-120-207.206j,-119.846+207.704j,-119.972-207.654j,+239.848-0.0612272i,-119.771+207.661j,+239.824-0.0842226i,+239.838-0.0713009i,+239.845-0.0665702i,-119.971-207.367j,-119.611+207.579j,+239.449-0.333358i,-120-207.216j,-119.848+207.703j,-119.973-207.67j,+239.854-0.0565846i,-119.788+207.671j,-119.777+207.66j,+239.843-0.0677613i,+239.768-0.105293i,-119.977-207.272j,-119.489+207.517j,+239.86-0.0538351i,-119.784+207.664j,-119.938-207.591j,-119.937-207.579j,-119.738+207.627j,-119.716+207.612j,-119.938-207.591j,-119.945-207.612j,+239.826-0.082151i,-119.782+207.647j,-119.79+207.661j,-119.955-207.583j,-119.772+207.658j
2021-07-01 04:00:00 CDT,+239.895-0.0483759i,-119.973-207.696j,+239.931-0.0256159i,+239.881-0.0531946i,-119.912+207.766j,+239.895-0.0423747i,+239.669-0.190678i,-120.007-207.211j,-119.892+207.744j,-119.982-207.659j,-119.894+207.754j,-119.837+207.708j,+239.638-0.210398i,-119.997-207.372j,-119.899+207.751j,-119.982-207.676j,-119.881+207.748j,-119.977-207.679j,-119.888+207.75j,-119.853+207.716j,-119.965-207.631j,-119.991-207.458j,-119.869+207.742j,-119.978-207.692j,+239.891-0.0389062i,-119.921+207.769j,+239.887-0.0475724i,-119.983-207.671j,-119.876+207.734j,-119.954-207.636j,-119.86+207.716j,+239.686-0.178856i,-119.992-207.461j,-119.75+207.654j,+239.906-0.0368204i,-119.976-207.712j,+239.888-0.0398994i,-119.914+207.759j,-119.978-207.685j,-119.949-207.584j,-119.852+207.71j,+239.713-0.162999i,-119.988-207.482j,-119.883+207.745j,+239.895-0.0387118i,-119.974-207.693j,+239.901-0.0391703i,+239.899-0.033983i,+239.865-0.0595429i,-119.859+207.723j,-119.89+207.739j,+239.709-0.165767i,-119.997-207.307j,-119.897+207.75j,-119.975-207.68j,+239.878-0.0472496i,-119.796+207.687j,+239.884-0.0488539i,+239.891-0.0414595i,+239.885-0.0437519i,-119.974-207.427j,-119.695+207.636j,+239.46-0.328494i,-119.996-207.322j,-119.9+207.749j,-119.976-207.706j,+239.892-0.0400126i,-119.848+207.717j,-119.836+207.709j,+239.876-0.0485547i,+239.814-0.0794752i,-119.978-207.344j,-119.681+207.629j,+239.901-0.0355683i,-119.857+207.721j,-119.935-207.505j,-119.948-207.631j,-119.788+207.672j,-119.782+207.668j,-119.945-207.605j,-119.952-207.638j,+239.855-0.0642475i,-119.845+207.709j,-119.876+207.729j,-119.961-207.619j,-119.882+207.736j
2021-07-01 04:30:00 CDT,+240.01+0.0118677i,-119.994-207.816j,+240.16+0.0866368i,+240.105+0.0664073i,-120.133+207.913j,+240.05+0.0327128i,+239.888-0.0548246i,-120.019-207.244j,-120.014+207.843j,-119.994-207.848j,-120.089+207.888j,-119.936+207.792j,+240.155+0.121297i,-120.012-207.375j,-120.068+207.878j,-119.996-207.87j,-119.978+207.82j,-119.993-207.793j,-120.029+207.854j,-120.018+207.847j,-119.994-207.688j,-120.003-207.496j,-120.007+207.836j,-119.995-207.837j,+240.09+0.0487609i,-120.117+207.905j,+240.076+0.0509387i,-119.994-207.808j,-120.109+207.9j,-119.995-207.825j,-120.059+207.876j,+240.27+0.196609i,-119.971-208.092j,-120.093+207.893j,+240.027+0.0185843i,-120.009-207.971j,+240.025+0.0190947i,-120.121+207.922j,-119.991-207.773j,-119.99-207.77j,-120.008+207.84j,+240.398+0.279942i,-119.972-208.024j,-120.02+207.845j,+240.064+0.0345244i,-120-207.878j,+240.107+0.0684006i,+240.045+0.0286951i,+240.036+0.0326279i,-120.117+207.905j,-120.131+207.92j,+240.271+0.195976i,-119.996-207.605j,-120.03+207.853j,-119.993-207.792j,+239.989+0.00219865i,-119.887+207.769j,+240.103+0.0703467i,+240.084+0.0543902i,+240.032+0.0279903i,-119.994-207.681j,-120.013+207.836j,+239.496-0.311983i,-119.989-207.745j,-120.02+207.847j,-119.996-207.846j,+239.958-0.0114582i,-120.078+207.881j,-120.052+207.867j,+240.009+0.017015i,+239.986+0.00499592i,-119.995-207.667j,-120.385+208.023j,+240.044+0.0279408i,-120.136+207.916j,-120.006-207.937j,-120.002-207.888j,-119.975+207.818j,-120.039+207.86j,-119.988-207.745j,-119.995-207.816j,+239.961-0.00886298i,-120.024+207.85j,-120.197+207.963j,-119.995-207.791j,-120.294+208.01j
